DATE,GCEC96
2004-01-01,2793.935
2004-04-01,2809.923
2004-07-01,2820.664
2004-10-01,2808.229
2005-01-01,2814.091
2005-04-01,2818.942
2005-07-01,2840.970
2005-10-01,2830.703
2006-01-01,2853.496
2006-04-01,2864.122
2006-07-01,2870.426
2006-10-01,2889.085
2007-01-01,2882.744
2007-04-01,2907.034
2007-07-01,2928.048
2007-10-01,2939.810
2008-01-01,2951.988
2008-04-01,2974.981
2008-07-01,3016.161
2008-10-01,3035.882
2009-01-01,3040.542
2009-04-01,3096.001
2009-07-01,3112.999
2009-10-01,3106.822
2010-01-01,3084.280
2010-04-01,3106.209
2010-07-01,3103.533
2010-10-01,3071.524
2011-01-01,3012.216
2011-04-01,3008.995
2011-07-01,2990.006
2011-10-01,2978.279
2012-01-01,2963.714
2012-04-01,2949.378
2012-07-01,2940.856
2012-10-01,2912.269
2013-01-01,2880.574
2013-04-01,2866.231
2013-07-01,2851.955
2013-10-01,2831.451
2014-01-01,2827.201
2014-04-01,2834.668
2014-07-01,2849.507
2014-10-01,2845.038
2015-01-01,2855.726
2015-04-01,2879.885
2015-07-01,2888.251
2015-10-01,2890.238
2016-01-01,2903.187
2016-04-01,2896.332
2016-07-01,2899.936
2016-10-01,2901.184
2017-01-01,2896.627
2017-04-01,2895.230
